<<<<<<< HEAD
codigo TL0102AC
codigo TL0102AI
codigo TL0104AC
codigo TL0104AI
codigo TL0102AC121
codigo TL0102AC122
codigo TL0102AC129
codigo TL0102AC221
codigo TL0102AC222
codigo TL0102AC229
codigo TL0102AI121
codigo TL0102AI122
codigo TL0102AI129
codigo TL0102AI221
codigo TL0102AI222
codigo TL0102AI229
codigo TL0104AC121
codigo TL0104AC122
codigo TL0104AC129
codigo TL0104AC221
codigo TL0104AC222
codigo TL0104AC229
codigo TL0104AI121
codigo TL0104AI122
codigo TL0104AI129
codigo TL0104AI221
codigo TL0104AI222
codigo TL0104AI229
codigo TL010122956ACE
codigo TL010122956ACS
codigo TL010122956AIE
codigo TL010122956AIS
codigo TL010124956ACE
codigo TL010124956ACS
codigo TL010124956AIE
codigo TL010124956AIS
codigo TL010222956ACE
codigo TL010222956ACS
codigo TL010222956AIE
codigo TL010222956AIS
codigo TL010224956ACE
codigo TL010224956ACS
codigo TL010224956AIE
codigo TL010224956AIS
codigo TC0030141FAC
codigo TC0030141FAI
codigo TC0030141PAC
codigo TC0030141PAI
codigo TC0030145FAC
codigo TC0030145FAI
codigo TC0030145PAC
codigo TC0030145PAI
codigo TC0030151FAC
codigo TC0030151FAI
codigo TC0030151PAC
codigo TC0030151PAI
codigo TC0030155FAC
codigo TC0030155FAI
codigo TC0030155PAC
codigo TC0030155PAI
codigo TC0030161FAC
codigo TC0030161FAI
codigo TC0030161PAC
codigo TC0030161PAI
codigo TC0030165FAC
codigo TC0030165FAI
codigo TC0030165PAC
codigo TC0030165PAI
codigo TC0030171FAC
codigo TC0030171FAI
codigo TC0030171PAC
codigo TC0030171PAI
codigo TC0030175FAC
codigo TC0030175FAI
codigo TC0030175PAC
codigo TC0030175PAI
codigo TC0030181FAC
codigo TC0030181FAI
codigo TC0030181PAC
codigo TC0030181PAI
codigo TC0030185FAC
codigo TC0030185FAI
codigo TC0030185PAC
codigo TC0030185PAI
codigo TC0030201FAC
codigo TC0030201FAI
codigo TC0030201PAC
codigo TC0030201PAI
codigo TC0030205FAC
codigo TC0030205FAI
codigo TC0030205PAC
codigo TC0030205PAI
codigo TC0030211FAC
codigo TC0030211FAI
codigo TC0030211PAC
codigo TC0030211PAI
codigo TC0030215FAC
codigo TC0030215FAI
codigo TC0030215PAC
codigo TC0030215PAI
codigo TC0030221FAC
codigo TC0030221FAI
codigo TC0030221PAC
codigo TC0030221PAI
codigo TC0030225FAC
codigo TC0030225FAI
codigo TC0030225PAC
codigo TC0030225PAI
codigo TC0030231FAC
codigo TC0030231FAI
codigo TC0030231PAC
codigo TC0030231PAI
codigo TC0030235FAC
codigo TC0030235FAI
codigo TC0030235PAC
codigo TC0030235PAI
codigo TC0030241FAC
codigo TC0030241FAI
codigo TC0030241PAC
codigo TC0030241PAI
codigo TC003141GFAC
codigo TC003141GFAI
codigo TC003141GPAC
codigo TC003141GPAI
codigo TC003145GFAC
codigo TC003145GFAI
codigo TC003145GPAC
codigo TC003145GPAI
codigo TC003151GFAC
codigo TC003151GFAI
codigo TC003151GPAC
codigo TC003151GPAI
codigo TC003155GFAC
codigo TC003155GFAI
codigo TC003155GPAC
codigo TC003155GPAI
codigo TC003161GFAC
codigo TC003161GFAI
codigo TC003161GPAC
codigo TC003161GPAI
codigo TC003165PFAC
codigo TC003165PFAI
codigo TC003165PPAC
codigo TC003165PPAI
codigo TC003171GFAC
codigo TC003171GFAI
codigo TC003171GPAC
codigo TC003171GPAI
codigo TC003175PFAC
codigo TC003175PFAI
codigo TC003175PPAC
codigo TC003175PPAI
codigo TC003181GFAC
codigo TC003181GFAI
codigo TC003181GPAC
codigo TC003181GPAI
codigo TC003201GFAC
codigo TC003201GFAI
codigo TC003201GPAC
codigo TC003201GPAI
codigo TC003205PFAC
codigo TC003205PFAI
codigo TC003205PPAC
codigo TC003205PPAI
codigo TC003211GFAC
codigo TC003211GFAI
codigo TC003211GPAC
codigo TC003211GPAI
codigo TC003215PFAC
codigo TC003215PFAI
codigo TC003215PPAC
codigo TC003215PPAI
codigo TC003221GFAC
codigo TC003221GFAI
codigo TC003221GPAC
codigo TC003221GPAI
codigo TC003231GFAC
codigo TC003231GFAI
codigo TC003231GPAC
codigo TC003231GPAI
codigo TC003241GFAC
codigo TC003241GFAI
codigo TC003241GPAC
codigo TC003241GPAI
codigo TC0030141FAC
codigo TC0030141FAI
codigo TC0030141PAC
codigo TC0030141PAI
codigo TC0030145FAC
codigo TC0030145FAI
codigo TC0030145PAC
codigo TC0030145PAI
codigo TC0030151FAC
codigo TC0030151FAI
codigo TC0030151PAC
codigo TC0030151PAI
codigo TC0030155FAC
codigo TC0030155FAI
codigo TC0030155PAC
codigo TC0030155PAI
codigo TC0030161FAC
codigo TC0030161FAI
codigo TC0030161PAC
codigo TC0030161PAI
codigo TC0030165FAC
codigo TC0030165FAI
codigo TC0030165PAC
codigo TC0030165PAI
codigo TC0030171FAC
codigo TC0030171FAI
codigo TC0030171PAC
codigo TC0030171PAI
codigo TC0030175FAC
codigo TC0030175FAI
codigo TC0030175PAC
codigo TC0030175PAI
codigo TC0030181FAC
codigo TC0030181FAI
codigo TC0030181PAC
codigo TC0030181PAI
codigo TC0030185FAC
codigo TC0030185FAI
codigo TC0030185PAC
codigo TC0030185PAI
codigo TC0030201FAC
codigo TC0030201FAI
codigo TC0030201PAC
codigo TC0030201PAI
codigo TC0030205FAC
codigo TC0030205FAI
codigo TC0030205PAC
codigo TC0030205PAI
codigo TC0030211FAC
codigo TC0030211FAI
codigo TC0030211PAC
codigo TC0030211PAI
codigo TC0030215FAC
codigo TC0030215FAI
codigo TC0030215PAC
codigo TC0030215PAI
codigo TC0030221FAC
codigo TC0030221FAI
codigo TC0030221PAC
codigo TC0030221PAI
codigo TC0030225FAC
codigo TC0030225FAI
codigo TC0030225PAC
codigo TC0030225PAI
codigo TC0030231FAC
codigo TC0030231FAI
codigo TC0030231PAC
codigo TC0030231PAI
codigo TC0030235FAC
codigo TC0030235FAI
codigo TC0030235PAC
codigo TC0030235PAI
codigo TC0030241FAC
codigo TC0030241FAI
codigo TC0030241PAC
codigo TC0030241PAI
codigo TC003141GFAC
codigo TC003141GFAI
codigo TC003141GPAC
codigo TC003141GPAI
codigo TC003145GFAC
codigo TC003145GFAI
codigo TC003145GPAC
codigo TC003145GPAI
codigo TC003151GFAC
codigo TC003151GFAI
codigo TC003151GPAC
codigo TC003151GPAI
codigo TC003155GFAC
codigo TC003155GFAI
codigo TC003155GPAC
codigo TC003155GPAI
codigo TC003161GFAC
codigo TC003161GFAI
codigo TC003161GPAC
codigo TC003161GPAI
codigo TC003165PFAC
codigo TC003165PFAI
codigo TC003165PPAC
codigo TC003165PPAI
codigo TC003171GFAC
codigo TC003171GFAI
codigo TC003171GPAC
codigo TC003171GPAI
codigo TC003175PFAC
codigo TC003175PFAI
codigo TC003175PPAC
codigo TC003175PPAI
codigo TC003181GFAC
codigo TC003181GFAI
codigo TC003181GPAC
codigo TC003181GPAI
codigo TC003201GFAC
codigo TC003201GFAI
codigo TC003201GPAC
codigo TC003201GPAI
codigo TC003205PFAC
codigo TC003205PFAI
codigo TC003205PPAC
codigo TC003205PPAI
codigo TC003211GFAC
codigo TC003211GFAI
codigo TC003211GPAC
codigo TC003211GPAI
codigo TC003215PFAC
codigo TC003215PFAI
codigo TC003215PPAC
codigo TC003215PPAI
codigo TC003221GFAC
codigo TC003221GFAI
codigo TC003221GPAC
codigo TC003221GPAI
codigo TC003231GFAC
