B0001;, BSP 1;, BSP 1;, BSP 1
B0012;, BSP 1/2;, BSP 1/2;, BSP 1/2
B002G;, BSP 2 G;, BSP 2 G;, BSP 2 G
B002P;, BSP 2 P;, BSP 2 P;, BSP 2 P
B003G;, BSP 3 G;, BSP 3 G;, BSP 3 G
B003P;, BSP 3 P;, BSP 3 P;, BSP 3 P
B0112;, BSP 1.1/2;, BSP 1.1/2;, BSP 1.1/2
B0114;, BSP 1.1/4;, BSP 1.1/4;, BSP 1.1/4
B034E;, BSP 3/4 ES;, BSP 3/4 ES;, BSP 3/4 ES
B034G;, BSP 3/4 G;, BSP 3/4 G;, BSP 3/4 G
B034P;, BSP 3/4 P;, BSP 3/4 P;, BSP 3/4 P
B212G;, BSP 2.1/2 G;, BSP 2.1/2 G;, BSP 2.1/2 G
B212P;, BSP 2.1/2 P;, BSP 2.1/2 P;, BSP 2.1/2 P
M0016;, M16;, M16;, M16
M0025;, M25;, M25;, M25
M0032;, M32;, M32;, M32
M0040;, M40;, M40;, M40
M020E;, M20 ES;, M20 ES;, M20 ES
M020G;, M20 G;, M20 G;, M20 G
M020P;, M20 P;, M20 P;, M20 P
M050G;, M50 G;, M50 G;, M50 G
M050P;, M50 P;, M50 P;, M50 P
M063G;, M63 G;, M63 G;, M63 G
M063P;, M63 P;, M63 P;, M63 P
M075G;, M75G;, M75G;, M75G
M075P;, M75 P;, M75 P;, M75 P
N0001;, NPT 1;, NPT 1;, NPT 1
N0012;, NPT 1/2;, NPT 1/2;, NPT 1/2
N002G;, NPT 2 G;, NPT 2 G;, NPT 2 G
N002P;, NPT 2 P;, NPT 2 P;, NPT 2 P
N003G;, NPT  3 G;, NPT  3 G;, NPT  3 G
N003P;, NPT 3 P;, NPT 3 P;, NPT 3 P
N0112;, NPT 1.1/2;, NPT 1.1/2;, NPT 1.1/2
N0114;, NPT 1.1/4;, NPT 1.1/4;, NPT 1.1/4
N034E;, NPT 3/4 ES;, NPT 3/4 ES;, NPT 3/4 ES
N034G;, NPT 3/4 G;, NPT 3/4 G;, NPT 3/4 G
N034P;, NPT 3/4 P;, NPT 3/4 P;, NPT 3/4 P
N212G;, NPT 2.1/2 G;, NPT 2.1/2 G;, NPT 2.1/2 G
N212P;, NPT 2.1/2 P;, NPT 2.1/2 P;, NPT 2.1/2 P
