ITLAMVM0002O;LAMPADA VAPOR METALICO 1000W  220V  OVOIDE;LAMPADA VAPOR METALICO 1000W  220V  OVOIDE;LAMPADA VAPOR METALICO 1000W  220V  OVOIDE
ITLAMVM0002T;LAMPADA VAPOR METALICO 1000W  220V  TUBULAR;LAMPADA VAPOR METALICO 1000W  220V  TUBULAR;LAMPADA VAPOR METALICO 1000W  220V  TUBULAR
ITLAMVM0702O;LAMPADA VAPOR METALICO 70W  220V  OVOIDE;LAMPADA VAPOR METALICO 70W  220V  OVOIDE;LAMPADA VAPOR METALICO 70W  220V  OVOIDE
ITLAMVM0702T;LAMPADA VAPOR METALICO 70W  220V  TUBULAR;LAMPADA VAPOR METALICO 70W  220V  TUBULAR;LAMPADA VAPOR METALICO 70W  220V  TUBULAR
ITLAMVM1002O;LAMPADA VAPOR METALICO 100W  220V  OVOIDE;LAMPADA VAPOR METALICO 100W  220V  OVOIDE;LAMPADA VAPOR METALICO 100W  220V  OVOIDE
ITLAMVM1002T;LAMPADA VAPOR METALICO 100W  220V  TUBULAR;LAMPADA VAPOR METALICO 100W  220V  TUBULAR;LAMPADA VAPOR METALICO 100W  220V  TUBULAR
ITLAMVM1502O;LAMPADA VAPOR METALICO 150W  220V  OVOIDE;LAMPADA VAPOR METALICO 150W  220V  OVOIDE;LAMPADA VAPOR METALICO 150W  220V  OVOIDE
ITLAMVM1502T;LAMPADA VAPOR METALICO 150W  220V  TUBULAR;LAMPADA VAPOR METALICO 150W  220V  TUBULAR;LAMPADA VAPOR METALICO 150W  220V  TUBULAR
ITLAMVM2502O;LAMPADA VAPOR METALICO 250W  220V  OVOIDE;LAMPADA VAPOR METALICO 250W  220V  OVOIDE;LAMPADA VAPOR METALICO 250W  220V  OVOIDE
ITLAMVM2502T;LAMPADA VAPOR METALICO 250W  220V  TUBULAR;LAMPADA VAPOR METALICO 250W  220V  TUBULAR;LAMPADA VAPOR METALICO 250W  220V  TUBULAR
ITLAMVM4002O;LAMPADA VAPOR METALICO 400W  220V  OVOIDE;LAMPADA VAPOR METALICO 400W  220V  OVOIDE;LAMPADA VAPOR METALICO 400W  220V  OVOIDE
ITLAMVM4002T;LAMPADA VAPOR METALICO 400W  220V  TUBULAR;LAMPADA VAPOR METALICO 400W  220V  TUBULAR;LAMPADA VAPOR METALICO 400W  220V  TUBULAR
;;;
