B0001;BSP 1;BSP 1;BSP 1
B0002;BSP 2;BSP 2;BSP 2
B0003;BSP 3;BSP 3;BSP 3
B0004;BSP 4;BSP 4;BSP 4
B0012;BSP 1/2;BSP 1/2;BSP 1/2
B001P;BSP 1 P;BSP 1 P;BSP 1 P
B002P;BSP 2 P;BSP 2 P;BSP 2 P
B0034;BSP 3/4;BSP 3/4;BSP 3/4
B0112;BSP 1.1/2;BSP 1.1/2;BSP 1.1/2
B0114;BSP 1.1/4;BSP 1.1/4;BSP 1.1/4
B012P;BSP 1/2 P;BSP 1/2 P;BSP 1/2 P
B0212;BSP 2.1/2;BSP 2.1/2;BSP 2.1/2
B0312;BSP 3.1/2;BSP 3.1/2;BSP 3.1/2
B034P;BSP 3/4 P;BSP 3/4 P;BSP 3/4 P
B112P;BSP 1.1/2 P;BSP 1.1/2 P;BSP 1.1/2 P
B114P;BSP 1.1/4 P;BSP 1.1/4 P;BSP 1.1/4 P
B212P;BSP 2.1/2 P;BSP 2.1/2 P;BSP 2.1/2 P
M0016;M16;M16;M16
M0020;M20;M20;M20
M0025;M25;M25;M25
M0032;M32;M32;M32
M0040;M40;M40;M40
M0050;M50;M50;M50
M0063;M63;M63;M63
M0075;M75;M75;M75
M0090;M90;M90;M90
M0100;M100;M100;M100
M020P;M20P;M20P;M20P
N0001;NPT 1;NPT 1;NPT 1
N0002;NPT 2;NPT 2;NPT 2
N0003;NPT 3;NPT 3;NPT 3
N0004;NPT 4;NPT 4;NPT 4
N0012;NPT 1/2;NPT 1/2;NPT 1/2
N001P;NPT 1 P;NPT 1 P;NPT 1 P
N002P;NPT 2 P;NPT 2 P;NPT 2 P
N0034;NPT 3/4;NPT 3/4;NPT 3/4
N0112;NPT 1.1/2;NPT 1.1/2;NPT 1.1/2
N0114;NPT 1.1/4;NPT 1.1/4;NPT 1.1/4
N0212;NPT 2.1/2;NPT 2.1/2;NPT 2.1/2
N0312;NPT 3.1/2;NPT 3.1/2;NPT 3.1/2
N034P;NPT 3/4 P;NPT 3/4 P;NPT 3/4 P
N112P;NPT 1.1/2 P;NPT 1.1/2 P;NPT 1.1/2 P
N114P;NPT 1.1/4 P;NPT 1.1/4 P;NPT 1.1/4 P
N212P;NPT 2.1/2 P;NPT 2.1/2 P;NPT 2.1/2 P
